gid,created_at,title,current_price,original_price,image_url,rating,review_count,url,categories
www.walmart.com-725566fa21a625cf12f54d8ac8234038,2022-03-11T17:01:42.378889Z,"Pokemon Battle Figure Multipack (8-Pack) - 2"" Squirtle, 2"" Bulbasaur, 2"" Charmander, 2"" Pikachu #4, 2"" Meowth, 2"" Jigglypuff, 3"" Loudred, and, 3"" Psyduck",$46.50,$46.50,https://i5.walmartimages.com/asr/9eb4e18a-b19a-4fbb-8f5b-bc560e499974_1.67f6b0370aaf9a5f8caca15d5bcc2965.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.9,82,https://www.walmart.com/ip/Pokemon-Battle-Figure-Multipack-8-Pack-2-Squirtle-Bulbasaur-Charmander-Pikachu-4-Meowth-Jigglypuff-3-Loudred-and-Psyduck/594137012,[Toys Action Figures Action Role Play & Accessories Video Game Role Play]
www.walmart.com-60c5bc642a1c7638075fb401dc3114e9,2022-03-11T16:49:47.666501Z,Skyscraper (DVD),$7.01,$9.99,https://i5.walmartimages.com/asr/69581346-1188-445c-84a7-0f0326cda496.62daccfca284a77072e4d507cfb5e5b7.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.8,57,https://www.walmart.com/ip/Skyscraper-DVD/771174457,[Movies & TV Shows Movies Action Movies Action Thriller Movies]
www.walmart.com-41f3651aa1c1ba0e8836773bb78fcf68,2022-03-11T16:56:34.175972Z,The Outsiders (DVD),$7.30,$7.30,https://i5.walmartimages.com/asr/3977a300-e401-4cae-ba58-039c370fe2ab.dd1cdef571c193de18ac554431b32c9d.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.5,86,https://www.walmart.com/ip/The-Outsiders-DVD/10295859,[Movies & TV Shows Movies Drama Movies Crime]
www.walmart.com-3022d1dbcc2b9358593bf99a4778ab77,2022-03-11T17:17:02.08469Z,Mother's Day (DVD),$5.99,$5.99,https://i5.walmartimages.com/asr/40bbc9dd-e3bb-4bb7-b2ea-32071561dc3f_1.c07ba01728f54598fab90448c577b2a5.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5.0,5,https://www.walmart.com/ip/Mother-s-Day-DVD/51619803,[Movies & TV Shows Movies Romance Movies Romantic Comedies]
www.walmart.com-9c087550c1b1e987822466fc8f6642c4,2022-03-11T17:07:06.661326Z,We're Back: A Dinosaur's Story (DVD),$6.00,$6.00,https://i5.walmartimages.com/asr/83a4ee6e-aa80-4f6a-b052-002f48a49e5b_1.a3eb8dd587e9d1a11964a23c1fa4cfb1.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.7,15,https://www.walmart.com/ip/We-re-Back-A-Dinosaur-s-Story-DVD/10929307,[Movies & TV Shows Shop Movies by Format DVD Movies]
www.walmart.com-55cb945716f9e89e8dce80f40a0c344d,2022-03-11T17:01:12.06807Z,The Legend of Billie Jean (DVD),$8.27,$8.27,https://i5.walmartimages.com/asr/ac7371fa-93c5-491d-9b2f-c3dfe140a6da.4b05e5a2e40c9e542596b79fe07fcfa3.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.9,8,https://www.walmart.com/ip/The-Legend-of-Billie-Jean-DVD/38435453,[Movies & TV Shows Movies Drama Movies Crime]
www.walmart.com-2b68b1b1eb820ed94f244aaa6f6e3782,2022-03-11T17:31:40.9465Z,Born in East L.A. (DVD),$4.99,$4.99,https://i5.walmartimages.com/asr/a0c7acf3-ecf8-4006-884f-0b98fa0f7144_1.90590dcd38df96c9a8a9fa775ee4cc5b.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.5,22,https://www.walmart.com/ip/Born-in-East-L-A-DVD/2061701,[Movies & TV Shows Under $5]
www.walmart.com-7c5308cb5c645f9ba7b80faf6a56dd8e,2022-03-11T17:55:41.405912Z,Goodfellas (DVD),$7.30,$7.30,https://i5.walmartimages.com/asr/ec5a8fff-4697-4360-90a4-2b7952a583f2_1.7cd4a5e5beb26006eb9a933a41911485.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.2,39,https://www.walmart.com/ip/Goodfellas-DVD/5762559,[Movies & TV Shows Movies Drama Movies Crime]
www.walmart.com-f3a157ef771eaee6b47c98a43ab6d063,2022-03-11T17:07:25.563749Z,The Rundown (Blu-ray),$5.99,$5.99,https://i5.walmartimages.com/asr/7ffeb584-c5c8-4f97-80ab-31332884836d_1.4fb39fc01983fab89fd36a17cfd59f28.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.8,5,https://www.walmart.com/ip/The-Rundown-Blu-ray/10800191,[Movies & TV Shows Movies Action Movies All Action & Adventure]
www.walmart.com-6f9c3a9e7d35c42f1f1d50229c1d70df,2022-03-11T17:59:05.367934Z,A Discovery of Witches: Series 1 (Blu-ray),$22.43,$39.99,https://i5.walmartimages.com/asr/6064f319-f4ac-4aef-9fd2-dbcb574a5c20_1.0120ddb01e1a80f3ff81b801cd5c7460.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5.0,13,https://www.walmart.com/ip/A-Discovery-of-Witches-Series-1-Blu-ray/806800039,[Movies & TV Shows Movies Action Movies Action Drama Movies]
www.walmart.com-f1ec03a33ad8e4711a2ec53ba36d9396,2022-03-11T17:02:18.869232Z,"Sanei Pokemon All Star Collection Snorlax Stuffed Plush Toy, 8""",$12.99,$21.55,https://i5.walmartimages.com/asr/f9c4a1e7-6657-4480-a4ab-57cee5a75035_1.36f0ef123334db8133338124c381cecf.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,1.0,1,https://www.walmart.com/ip/Sanei-Pokemon-All-Star-Collection-Snorlax-Stuffed-Plush-Toy-8/377668246?athbdg=L1700,[Toys Stuffed Animals & Plush Toys 2 to 4 Years]
